MgO,Pd,Pd/Pt,MSS Cu,Fluid Cu
0.166854829,0.594966644,0.491799358,0.995173259,0
0.166856321,0.000786233,0.045270443,0.995989789,0.003830309
0.166873238,12.67569606,11.77224217,0,0.707887199
0.166879412,0.269990524,1.058883291,0.975857386,2.09E-02
0.166894425,0.420031871,0.739606199,0.998275221,0.000933468
0.166895548,0.001248949,0.209642484,0.998652727,0.001346277
0.166897664,0.117526868,0.277047532,0.923710258,0.075428192
0.166904152,0.091043096,0.24203292,0.992964522,0.003894902
0.166921742,0.005548297,0.158745218,0.996980739,0.002977095
0.166933603,84.67053664,168.6638838,0,0.992499696
0.166952647,24.56898104,18.71366352,0,0.980305068
0.166953522,0.003629479,0.117370748,0.99104031,0.008829852
0.16695502,0.028121837,10.39815537,0.999425943,0.000586028
0.166956021,1.323190583,0.851905265,0.99835644,0.000932362
0.166957701,0.233347754,1.049644413,0.849104758,1.48E-01
0.166962058,0.032771764,0.048038823,0.973772429,2.52E-02
0.166966273,0.083649937,0.159752976,0.971145172,0.0281124
0.166968852,0.003928962,0.216183487,0.997435762,0.002503159
0.166983767,0.000712115,0.039098129,0.99712943,0.002874771
0.166990203,1.21411539,2.972671468,0.962078853,0.035285881
0.167014529,0.001976829,0.076195509,0.998890674,0.001080485
0.167022811,0.42610371,0.876853881,0.990158201,0.00937971
0.167023632,0.314175652,0.765828788,0.962916053,0.036662844
0.167031646,10.29968386,8.099536759,0,0.820812592
0.167032707,0.002257853,0.274244298,0.999082996,0.000832196
0.167042465,0.004309905,0.107031816,0.997992372,0.00198465
0.167051179,61.00135374,34.56976879,0,0.912343991
0.167051271,0.015713414,0.039252218,0.965637785,0.033647822
0.167054212,0.001301245,0.097747796,0.995165401,0.004822256
0.167060766,40.82379995,20.98761846,0,0.866314874
0.167078206,0.775661009,1.944635644,0.960552838,0.035786055
0.16709384,0.270590321,1.656028758,0.979102947,0.01923003
0.167096658,0.00299313,0.626199382,0.999094715,0.000884738
0.167105406,0.000538718,0.123755992,0.997772264,0.00224734
0.16710816,0.032236517,0.09211,0.968868266,0.029045319
0.167118173,44.22917973,8.276039192,0,0.809360575
0.167124076,0.05426356,0.092034469,0.834251319,0.164505131
0.167133231,0.018694889,0.167496993,0.992274703,0.007417936
0.167178711,0.00159271,0.102976468,0.998801833,0.00120493
0.167183356,0.027864818,0.161921499,0.979726284,0.018242367
0.167185407,49.51551488,18.41890188,0,0.913674957
0.167187886,28.14743936,17.44634688,0,0.959348166
0.167191017,0.001310644,0.236352192,0.998216876,0.001806716
0.167209317,0.005835892,0.381138091,0.997801002,0.002165349
0.167211743,0.138357857,0.317166526,0.983700693,0.013382859
0.167220683,0.812330746,3.83717709,0.990340539,0.009348334
0.167229713,0.003389083,0.057991132,0.997342275,0.002525078
